# file...... IEEE_13_feeder_transformer_power.csv
# date...... Wed Nov 21 19:24:59 2018
# user...... AICPS
# host...... (null)
# target.... transformer 23
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2005-11-01 00:00:00 PST,+8633.27-463187j,+5931.22-154044j,+1157.27-154471j,+1544.79-154671j
2005-11-01 00:18:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
2005-11-01 00:19:00 PST,+2990.44+439.303j,+2990.44+439.303j,+0.000168775+0.000168772j,+0.000168762+0.000168736j
2005-11-01 00:20:00 PST,+2990.44+439.303j,+2990.44+439.302j,+0.000168775+0.000168772j,+0.000168762+0.000168736j
2005-11-01 00:21:00 PST,+2990.44+439.303j,+2990.44+439.302j,+0.000168775+0.000168772j,+0.000168762+0.000168736j
2005-11-01 00:22:00 PST,+3310.58+533.056j,+3310.58+533.056j,+0.000168777+0.000168775j,+0.000168762+0.000168734j
2005-11-01 00:23:00 PST,+3310.58+533.056j,+3310.58+533.056j,+0.000168777+0.000168775j,+0.000168762+0.000168734j
2005-11-01 00:24:00 PST,+1387.35+531.47j,+1387.35+531.47j,+0.000168764+0.000168766j,+0.000168761+0.000168747j
2005-11-01 00:25:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:26:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:27:00 PST,+5268.93+443.092j,+5268.93+443.092j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:28:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:29:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:30:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:31:00 PST,+4658.89+214.725j,+4658.89+214.724j,+0.000168788+0.000168778j,+0.000168761+0.000168724j
2005-11-01 00:32:00 PST,+4658.89+214.724j,+4658.89+214.724j,+0.000168788+0.000168778j,+0.000168761+0.000168724j
2005-11-01 00:33:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:34:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:35:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:36:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:37:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:38:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:39:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:40:00 PST,+4658.89+214.725j,+4658.89+214.724j,+0.000168788+0.000168778j,+0.000168761+0.000168724j
2005-11-01 00:41:00 PST,+4658.89+214.724j,+4658.89+214.724j,+0.000168788+0.000168778j,+0.000168761+0.000168724j
2005-11-01 00:42:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:43:00 PST,+5138.89+379.915j,+5138.89+379.915j,+0.00016879+0.000168781j,+0.000168763+0.000168721j
2005-11-01 00:44:00 PST,+4658.89+214.725j,+4658.89+214.724j,+0.000168788+0.000168778j,+0.000168761+0.000168724j
2005-11-01 00:45:00 PST,+5918.06+251.594j,+5918.06+251.594j,+0.000168796+0.000168784j,+0.000168762+0.000168715j
2005-11-01 00:46:00 PST,+5918.06+251.594j,+5918.06+251.594j,+0.000168796+0.000168784j,+0.000168762+0.000168715j
2005-11-01 00:47:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:48:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:49:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:50:00 PST,+5544.12+513.819j,+5544.12+513.818j,+0.000168792+0.000168784j,+0.000168764+0.000168718j
2005-11-01 00:51:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:52:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:53:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 00:54:00 PST,+5243.95+414.625j,+5243.95+414.624j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:55:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:56:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:57:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:58:00 PST,+5259.96+419.914j,+5259.96+419.914j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 00:59:00 PST,+5259.96+419.914j,+5259.96+419.914j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:00:00 PST,+5259.96+419.914j,+5259.96+419.914j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:01:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:02:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:03:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:04:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:05:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:06:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:07:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:08:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:09:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:10:00 PST,+4779.95+254.701j,+4779.95+254.7j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:11:00 PST,+5243.95+414.625j,+5243.95+414.625j,+0.000168791+0.000168782j,+0.000168763+0.00016872j
2005-11-01 01:12:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:13:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:14:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:15:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:16:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:17:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:18:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:19:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:20:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:21:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:22:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:23:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:24:00 PST,+4763.94+249.414j,+4763.94+249.414j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:25:00 PST,+4779.95+254.701j,+4779.95+254.7j,+0.000168788+0.000168779j,+0.000168761+0.000168723j
2005-11-01 01:26:00 PST,+4363.65+248.666j,+4363.65+248.666j,+0.000168785+0.000168777j,+0.000168761+0.000168726j
2005-11-01 01:27:00 PST,+4363.65+248.666j,+4363.65+248.666j,+0.000168785+0.000168777j,+0.000168761+0.000168726j
2005-11-01 01:28:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:29:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:30:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:31:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:32:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:33:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:34:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:35:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:36:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:37:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:38:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:39:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:40:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:41:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:42:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:43:00 PST,+6726.99+398.296j,+6726.99+398.296j,+0.000168801+0.000168788j,+0.000168764+0.00016871j
2005-11-01 01:44:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:45:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:46:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:47:00 PST,+4819.64+399.662j,+4819.64+399.661j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:48:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:49:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:50:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:51:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:52:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:53:00 PST,+4803.63+394.375j,+4803.63+394.374j,+0.000168788+0.00016878j,+0.000168762+0.000168723j
2005-11-01 01:54:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 01:55:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 01:56:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 01:57:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 01:58:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 01:59:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:00:00 PST,+4339.65+234.524j,+4339.65+234.523j,+0.000168785+0.000168777j,+0.000168761+0.000168726j
2005-11-01 02:01:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:02:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:03:00 PST,+5710.6+231.701j,+5710.6+231.701j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:04:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:05:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:06:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:07:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:08:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:09:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:10:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:11:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:12:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:13:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:14:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:15:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:16:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:17:00 PST,+4323.64+229.24j,+4323.64+229.239j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:18:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:19:00 PST,+4323.64+229.24j,+4323.64+229.24j,+0.000168785+0.000168777j,+0.000168761+0.000168727j
2005-11-01 02:20:00 PST,+5710.6+231.701j,+5710.6+231.701j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:21:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:22:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:23:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:24:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:25:00 PST,+5710.6+231.701j,+5710.6+231.7j,+0.000168795+0.000168783j,+0.000168762+0.000168717j
2005-11-01 02:26:00 PST,+5505.51+196.756j,+5505.51+196.755j,+0.000168793+0.000168782j,+0.000168762+0.000168718j
2005-11-01 02:27:00 PST,+5505.51+196.756j,+5505.51+196.755j,+0.000168793+0.000168782j,+0.000168762+0.000168718j
2005-11-01 02:28:00 PST,+5495.51+191.895j,+5495.51+191.895j,+0.000168793+0.000168782j,+0.000168761+0.000168718j
2005-11-01 02:29:00 PST,+5495.51+191.895j,+5495.51+191.895j,+0.000168793+0.000168782j,+0.000168761+0.000168718j
2005-11-01 02:30:00 PST,+5495.51+191.895j,+5495.51+191.895j,+0.000168793+0.000168782j,+0.000168761+0.000168718j
2005-11-01 02:31:00 PST,+5495.51+191.895j,+5495.51+191.895j,+0.000168793+0.000168782j,+0.000168761+0.000168718j
2005-11-01 02:32:00 PST,+5495.51+191.895j,+5495.51+191.895j,+0.000168793+0.000168782j,+0.000168761+0.000168718j
2005-11-01 02:33:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:34:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:35:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:36:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:37:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:38:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:39:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:40:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:41:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:42:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:43:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:44:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:45:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:46:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:47:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:48:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:49:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:50:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:51:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:52:00 PST,+4124.53+194.822j,+4124.53+194.822j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:53:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:54:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:55:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:56:00 PST,+4124.53+194.822j,+4124.53+194.822j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:57:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:58:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 02:59:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:00:00 PST,+4124.53+194.822j,+4124.53+194.822j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:01:00 PST,+4108.53+189.54j,+4108.53+189.539j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:02:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:03:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:04:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:05:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:06:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:07:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:08:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:09:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:10:00 PST,+4088.28+189.51j,+4088.28+189.51j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:11:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:12:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:13:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:14:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:15:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:16:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:17:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:18:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:19:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:20:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:21:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:22:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:23:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:24:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:25:00 PST,+4193.32+224.178j,+4193.32+224.178j,+0.000168784+0.000168776j,+0.000168761+0.000168727j
2005-11-01 03:26:00 PST,+4093.26+224.009j,+4093.26+224.008j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
2005-11-01 03:27:00 PST,+4093.26+224.009j,+4093.26+224.008j,+0.000168784+0.000168776j,+0.000168761+0.000168728j
